Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1998-05-28,70.5,71.5,69.6,69.8,70.507635983264,47800.0,189.0,3370265.0,,,1.9,-0.7
1998-05-27,72.2,72.75,70.0,71.0,71.470931422723,97700.0,315.0,6982710.0,,,2.75,-1.2
1998-05-26,71.0,73.5,70.1,73.15,72.123361522199,94600.0,290.0,6822870.0,,,3.4,2.15
1998-05-25,72.0,73.0,71.5,71.7,72.255652173913,34500.0,152.0,2492820.0,,,1.5,-0.3
1998-05-22,72.0,72.75,71.1,71.65,71.952118644068,106200.0,239.0,7641315.0,,,1.65,-0.35
1998-05-21,74.9,74.9,72.1,72.3,72.589322617681,87100.0,233.0,6322530.0,,,2.8,-2.6
1998-05-20,73.6,74.9,72.5,74.05,73.652906976744,86000.0,297.0,6334150.0,,,2.4,0.45
1998-05-19,73.0,73.25,72.05,73.15,72.639447236181,59700.0,177.0,4336575.0,,,1.2,0.15
1998-05-18,74.0,74.0,72.5,72.8,73.029056047198,67800.0,224.0,4951370.0,,,1.5,-1.2
1998-05-15,74.5,74.9,70.7,73.0,72.154938936782,278400.0,572.0,20087935.0,,,4.2,-1.5
1998-05-14,70.0,75.0,67.5,74.5,72.180690091801,315900.0,669.0,22801880.0,,,7.5,4.5
1998-05-13,72.5,74.1,69.05,69.2,72.080908568143,173900.0,472.0,12534870.0,,,5.05,-3.3
1998-05-12,72.6,74.9,72.0,74.15,73.55972733972,135700.0,308.0,9982055.0,,,2.9,1.55
1998-05-08,75.5,76.0,73.25,74.0,74.504054054054,162800.0,416.0,12129260.0,,,2.75,-1.5
1998-05-06,77.0,78.0,75.5,76.0,76.490791316527,142800.0,333.0,10922885.0,,,2.5,-1.0
1998-05-05,77.9,77.9,76.0,77.75,77.141062176166,77200.0,275.0,5955290.0,,,1.9,-0.15
1998-05-04,77.0,79.5,76.7,77.6,77.533318700615,113900.0,358.0,8831045.0,,,2.8,0.6
1998-04-30,75.3,76.9,74.3,76.45,75.488327674024,235600.0,623.0,17785050.0,,,2.6,1.15
1998-04-29,79.9,80.9,75.0,76.0,76.990982951518,375400.0,938.0,28902415.0,,,5.9,-3.9
1998-04-27,79.0,81.0,77.5,78.5,79.476251507841,331600.0,856.0,26354325.0,,,3.5,-0.5
1998-04-24,80.0,80.0,75.05,77.75,77.496979688736,379100.0,1038.0,29379105.0,,,4.95,-2.25
1998-04-23,81.0,83.25,78.5,78.55,81.124433188616,414600.0,1314.0,33634190.0,,,4.75,-2.45
1998-04-22,80.75,87.5,80.0,80.15,84.487632887517,1166400.0,3093.0,98546375.0,,,7.5,-0.6
1998-04-21,78.0,81.0,77.25,80.1,79.409664948454,349200.0,865.0,27729855.0,,,3.75,2.1
1998-04-20,78.0,79.25,77.0,77.05,78.153022825416,162100.0,475.0,12668605.0,,,2.25,-0.95
1998-04-17,78.0,78.5,76.0,77.05,76.710462919225,211700.0,516.0,16239605.0,,,2.5,-0.95
1998-04-16,79.5,82.0,77.0,77.25,79.371295702373,155900.0,551.0,12373985.0,,,5.0,-2.25
1998-04-15,77.9,80.7,77.9,79.8,79.439591397849,232500.0,764.0,18469705.0,,,2.8,1.9
1998-04-13,77.6,80.9,76.0,76.3,77.773985572588,221800.0,640.0,17250270.0,,,4.9,-1.3
1998-04-10,78.3,79.3,76.6,76.9,78.013972186006,230100.0,706.0,17951015.0,,,2.7,-1.4
1998-04-08,80.0,80.9,77.5,78.1,78.754303646145,167300.0,557.0,13175595.0,,,3.4,-1.9
1998-04-07,79.0,81.5,78.75,80.05,80.118377530653,350700.0,1004.0,28097515.0,,,2.75,1.05
1998-04-06,76.5,82.0,75.5,79.95,78.643486208043,601800.0,1568.0,47327650.0,,,6.5,3.45
1998-04-03,73.25,75.0,72.6,75.0,74.145836131632,148900.0,425.0,11040315.0,,,2.4,1.75
1998-04-02,73.0,75.5,72.1,73.4,73.650398671096,150500.0,480.0,11084385.0,,,3.4,0.4
1998-04-01,71.5,72.9,71.5,72.5,72.285285285285,33300.0,134.0,2407100.0,,,1.4,1.0
1998-03-31,72.5,73.3,71.0,71.45,71.9469348659,130500.0,315.0,9389075.0,,,2.3,-1.05
1998-03-30,75.0,76.9,72.7,72.95,74.126417910448,67000.0,248.0,4966470.0,,,4.2,-2.05
1998-03-27,72.15,74.0,72.0,72.7,72.87835209826,97700.0,344.0,7120215.0,,,2.0,0.55
1998-03-26,76.0,76.5,73.0,73.05,74.668726415094,106000.0,332.0,7914885.0,,,3.5,-2.95
1998-03-25,74.5,76.5,74.1,75.65,75.338457502623,95300.0,364.0,7179755.0,,,2.4,1.15
1998-03-24,77.1,78.0,74.0,74.45,75.430473258946,259900.0,691.0,19604380.0,,,4.0,-2.65
1998-03-23,75.0,78.0,74.2,77.05,75.776063386155,119900.0,426.0,9085550.0,,,3.8,2.05
1998-03-20,70.35,74.75,70.0,73.2,73.036343350193,336100.0,837.0,24547515.0,,,4.75,2.85
1998-03-19,71.1,72.0,70.2,70.55,70.986470588235,34000.0,142.0,2413540.0,,,1.8,-0.55
1998-03-18,70.6,71.3,70.0,70.15,70.717351129363,48700.0,170.0,3443935.0,,,1.3,-0.45
1998-03-17,71.25,71.25,69.7,70.3,70.149913793103,58000.0,225.0,4068695.0,,,1.55,-0.95
1998-03-16,72.5,73.7,71.0,71.15,72.220895522388,40200.0,178.0,2903280.0,,,2.7,-1.35
1998-03-12,70.0,71.0,70.0,70.25,70.511397058824,40800.0,211.0,2876865.0,,,1.0,0.25
1998-03-11,72.45,72.5,70.5,71.45,71.117857142857,46200.0,170.0,3285645.0,,,2.0,-1.0
1998-03-10,73.25,73.25,72.0,72.45,72.395008319468,60100.0,233.0,4350940.0,,,1.25,-0.8
1998-03-09,73.5,73.6,72.2,72.95,72.851359223301,51500.0,248.0,3751845.0,,,1.4,-0.55
1998-03-06,72.6,72.6,70.6,71.55,71.879703097005,390700.0,403.0,28083400.0,,,2.0,-1.05
1998-03-05,73.0,73.0,71.7,72.2,72.331006647673,105300.0,370.0,7616455.0,,,1.3,-0.8
1998-03-04,70.0,73.0,69.85,72.25,71.752118346519,106805.0,410.0,7663485.0,,,3.15,2.25
1998-03-03,72.5,72.5,68.1,69.35,70.15454954955,111000.0,409.0,7787155.0,,,4.4,-3.15
1998-03-02,75.0,75.25,71.5,73.25,72.961996863565,191300.0,618.0,13957630.0,,,3.75,-1.75
1998-02-27,70.95,71.65,70.0,70.6,70.931314285714,87500.0,402.0,6206490.0,,,1.65,-0.35
1998-02-26,69.0,72.0,69.0,70.5,70.642386185243,127400.0,521.0,8999840.0,,,3.0,1.5
1998-02-24,67.8,68.9,67.8,68.75,68.323718364698,154100.0,463.0,10528685.0,,,1.1,0.95
1998-02-23,67.0,68.6,65.2,68.5,67.246716335541,181200.0,715.0,12185105.0,,,3.4,1.5
1998-02-20,65.1,65.75,64.0,64.55,64.779490740741,108000.0,286.0,6996185.0,,,1.75,-0.55
1998-02-19,65.0,66.4,64.7,65.05,65.28300270514,110900.0,276.0,7239885.0,,,1.7,0.05
1998-02-18,63.5,65.2,62.3,65.0,64.156022408964,107100.0,325.0,6871110.0,,,2.9,1.5
1998-02-17,65.5,65.8,63.25,63.6,63.292401960784,224400.0,303.0,14202815.0,,,2.55,-1.9
1998-02-16,65.0,65.95,64.55,65.0,65.377374872319,97900.0,387.0,6400445.0,,,1.4,0.0
1998-02-13,63.0,63.6,62.2,62.75,62.797480106101,75400.0,304.0,4734930.0,,,1.4,-0.25
